Project Name	Start Time	Elapsed Time	Momentary Overload	LAeq	LAF1,0	LAF5,0	LAF10,0	LAF50,0	LAF90,0	LAF95,0	LAF99,0	StdDev	NC	NCDecisiveBand	NR	NRDecisiveBand	NCB	NCBCriteria	RC	RCCriteria	Loudness	Loudness_Level	exclude	bull	truck	Marker4	Marker5	Sound	Sound Path	Comment	Comment Path	Note	Note Path	Image	Image Path	Attachment	Marker6	Marker7	Marker8	Marker9	Marker10	Time	
GL 22  007	16/11/2021 8:58:44	00:00:01	0	32,29	32,76	32,60	32,53	32,16	31,95	31,87	31,81	0,21	27,00	1000,00	29,00	1000,00	24,00	(H)	26,00	(HF) Objectionable	1,54	46,23	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:58:45	00:00:01	0	35,67	38,35	38,16	37,96	35,30	32,27	32,22	32,06	2,38	37,00	8000,00	41,00	8000,00	24,00	(H)	26,00	(HF) Objectionable	1,98	49,86	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:58:46	00:00:01	0	32,46	35,20	34,60	34,00	32,52	32,13	32,06	32,01	0,81	27,00	1000,00	29,00	1000,00	24,00	(H)	26,00	(HF) Objectionable	1,47	45,51	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:58:47	00:00:01	0	33,16	33,97	33,87	33,77	33,14	32,08	32,02	31,86	0,62	28,00	1000,00	30,00	1000,00	26,00	(H)	26,00	(HF) Objectionable	1,64	47,16	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:58:48	00:00:01	0	35,02	36,55	36,30	36,10	35,13	33,06	32,94	32,82	1,09	30,00	2000,00	32,00	2000,00	27,00	(H)	28,00	(HF) Objectionable	2,07	50,50	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:58:49	00:00:01	0	33,49	34,20	34,08	33,98	33,75	33,00	32,85	32,66	0,37	29,00	8000,00	33,00	8000,00	25,00	(H)	26,00	(HF) Objectionable	1,79	48,39	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:58:50	00:00:01	0	32,92	33,77	33,65	33,55	32,80	32,47	32,43	32,40	0,40	28,00	1000,00	30,00	1000,00	25,00	(H)	26,00	(HF) Objectionable	1,60	46,79	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:58:51	00:00:01	0	34,95	38,50	37,90	37,00	34,00	32,10	32,03	31,90	1,83	35,00	8000,00	39,00	8000,00	24,00	(H)	26,00	(HF) Marginal	1,95	49,61	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:58:52	00:00:01	0	33,94	35,80	35,10	34,88	34,30	33,28	33,13	32,86	0,68	30,00	4000,00	33,00	4000,00	26,00	(H)	26,00	(HF) Objectionable	1,94	49,58	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:58:53	00:00:01	0	34,34	38,90	38,20	37,40	33,20	31,70	31,44	31,25	2,14	33,00	8000,00	37,00	8000,00	26,00	(H)	25,00	(HF) Objectionable	1,96	49,67	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:58:54	00:00:01	0	31,87	34,30	33,80	33,06	31,80	31,02	30,86	30,60	0,82	27,00	2000,00	29,00	2000,00	24,00	(H)	25,00	(HF) Objectionable	1,44	45,27	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:58:55	00:00:01	0	32,69	35,93	35,60	34,80	31,37	30,85	30,80	30,65	1,57	31,00	8000,00	35,00	8000,00	24,00	(H)	25,00	(HF) Objectionable	1,60	46,79	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:58:56	00:00:01	0	33,01	35,00	34,84	34,66	33,20	31,04	30,86	30,66	1,33	30,00	4000,00	33,00	4000,00	26,00	(H)	25,00	(HF) Objectionable	1,67	47,36	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:58:57	00:00:01	0	33,02	37,70	37,20	36,20	30,86	30,60	30,50	30,42	1,96	33,00	8000,00	37,00	8000,00	23,00	(H)	25,00	(HF) Objectionable	1,58	46,61	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:58:58	00:00:01	0	31,31	36,00	35,20	34,20	31,66	31,15	31,07	31,01	1,23	26,00	1000,00	28,00	1000,00	23,00	(H)	25,00	(HF) Objectionable	1,33	44,10	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:58:59	00:00:01	0	33,97	36,80	36,20	35,56	31,90	31,30	31,22	31,06	1,91	34,00	8000,00	38,00	8000,00	24,00	(H)	25,00	(HF) Objectionable	1,74	47,96	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:00	00:00:01	0	35,60	36,53	36,33	36,18	35,55	35,00	34,80	34,20	0,51	34,00	4000,00	37,00	4000,00	27,00	(H)	26,00	(HF) Objectionable	2,23	51,57	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:01	00:00:01	0	32,81	34,80	34,40	34,05	32,94	32,64	32,56	32,43	0,53	28,00	1000,00	30,00	1000,00	24,00	(H)	26,00	(HF) Objectionable	1,45	45,35	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:02	00:00:01	0	35,02	36,93	36,70	36,40	34,50	33,11	32,96	32,80	1,21	33,00	8000,00	37,00	8000,00	26,00	(H)	27,00	(HF) Objectionable	2,03	50,19	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:03	00:00:01	0	34,78	35,37	35,27	35,17	34,84	34,48	34,43	34,30	0,25	31,00	1000,00	33,00	1000,00	26,00	(H)	28,00	(HF) Objectionable	1,70	47,65	0	1	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:04	00:00:01	0	36,61	39,20	38,93	38,53	35,96	34,67	34,61	34,45	1,40	36,00	8000,00	40,00	8000,00	26,00	(H)	28,00	(HF) Marginal	2,30	52,00	0	1	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:05	00:00:01	0	36,25	37,50	37,34	37,24	35,55	35,01	34,90	34,80	0,85	32,00	2000,00	34,00	2000,00	29,00	(H)	29,00	(HF) Objectionable	2,32	52,15	0	1	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:06	00:00:01	0	38,66	41,00	40,70	40,40	38,56	36,96	36,86	36,70	1,25	39,00	8000,00	43,00	8000,00	29,00	(H)	29,00	(HF) Objectionable	2,86	55,18	0	1	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:07	00:00:01	0	35,04	36,50	36,20	35,76	35,17	34,90	34,85	34,81	0,36	31,00	2000,00	33,00	2000,00	26,00	(H)	28,00	(HF) Objectionable	1,84	48,83	0	1	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:08	00:00:01	0	35,77	37,73	37,50	37,13	35,18	34,91	34,85	34,81	0,78	31,00	2000,00	35,00	8000,00	27,00	(H)	29,00	(HF) Objectionable	2,18	51,22	0	1	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:09	00:00:01	0	35,89	37,56	37,43	37,26	35,78	35,28	34,96	34,83	0,74	31,00	2000,00	35,00	8000,00	27,00	(H)	29,00	(HF) Objectionable	2,19	51,30	0	1	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:10	00:00:01	0	34,37	34,93	34,78	34,73	34,38	34,10	34,04	34,00	0,23	30,00	2000,00	32,00	2000,00	26,00	(H)	28,00	(HF) Objectionable	1,76	48,14	0	1	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:11	00:00:01	0	34,31	35,37	35,25	35,13	34,48	33,58	33,48	33,40	0,57	30,00	1000,00	32,00	2000,00	25,00	(H)	28,00	(HF) Objectionable	1,70	47,67	0	1	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:12	00:00:01	0	33,45	34,16	34,00	33,95	33,45	33,08	33,04	33,00	0,32	29,00	1000,00	31,00	1000,00	25,00	(H)	27,00	(HF) Objectionable	1,52	46,07	0	1	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:13	00:00:01	0	36,00	39,60	39,10	38,00	34,91	33,94	33,80	33,20	1,66	37,00	8000,00	41,00	8000,00	25,00	(H)	26,00	(HF) Objectionable	2,07	50,50	0	1	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:14	00:00:01	0	33,45	35,40	34,80	34,45	33,29	32,86	32,81	32,66	0,61	28,00	1000,00	30,00	1000,00	25,00	(H)	27,00	(HF) Objectionable	1,75	48,09	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:15	00:00:01	0	35,82	37,96	37,80	37,30	34,50	33,85	33,71	33,62	1,41	31,00	2000,00	35,00	8000,00	28,00	(H)	29,00	(HF) Objectionable	2,28	51,90	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:16	00:00:01	0	34,06	36,13	35,86	35,30	34,21	33,36	33,28	33,21	0,76	29,00	1000,00	31,00	1000,00	26,00	(H)	28,00	(HF) Objectionable	1,79	48,36	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:17	00:00:01	0	33,83	34,40	34,35	34,30	33,95	33,62	33,54	33,42	0,25	29,00	1000,00	31,00	1000,00	25,00	(H)	27,00	(HF) Marginal	1,67	47,40	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:18	00:00:01	0	34,63	35,53	35,33	34,90	34,36	33,64	33,51	33,42	0,47	30,00	1000,00	33,00	8000,00	25,00	(H)	28,00	(HF) Objectionable	1,89	49,18	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:19	00:00:01	0	39,30	43,10	42,66	42,00	35,72	35,06	35,01	34,86	2,78	41,00	8000,00	45,00	8000,00	28,00	(H)	29,00	(HF) Objectionable	2,82	54,96	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:20	00:00:01	0	37,00	42,70	42,00	41,00	37,20	36,43	36,32	36,22	1,73	32,00	1000,00	36,00	8000,00	29,00	(H)	30,00	(HF) Objectionable	2,53	53,40	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:21	00:00:01	0	35,76	36,58	36,51	36,43	35,96	35,20	35,10	35,02	0,43	31,00	1000,00	33,00	1000,00	27,00	(H)	29,00	(HF) Objectionable	2,10	50,68	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:22	00:00:01	0	38,81	42,10	41,60	41,30	38,00	35,44	35,30	35,10	2,35	40,00	8000,00	44,00	8000,00	26,00	(H)	28,00	(HF) Marginal	2,65	54,06	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:23	00:00:01	0	37,76	43,30	41,00	35,32	34,65	33,93	33,86	33,81	1,97	38,00	8000,00	42,00	8000,00	28,00	(H)	28,00	(HF) Objectionable	2,58	53,66	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:24	00:00:01	0	38,42	44,55	44,33	43,80	36,33	34,72	34,65	34,60	3,56	39,00	8000,00	43,00	8000,00	28,00	(H)	28,00	(HF) Objectionable	2,69	54,28	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:25	00:00:01	0	38,01	41,50	40,80	40,30	37,44	35,12	35,00	34,70	1,99	38,00	8000,00	42,00	8000,00	27,00	(H)	29,00	(HF) Objectionable	2,52	53,33	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:26	00:00:01	0	36,21	38,00	36,56	36,46	35,86	35,62	35,56	35,43	0,37	32,00	2000,00	34,00	2000,00	27,00	(H)	29,00	(HF) Objectionable	2,32	52,13	0	0	1	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:27	00:00:01	0	42,00	45,10	44,50	43,90	42,05	38,70	38,20	37,80	1,88	44,00	8000,00	48,00	8000,00	30,00	(H)	30,00	(HF) Objectionable	3,38	57,56	0	0	1	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:28	00:00:01	0	37,08	37,73	37,56	37,46	37,15	36,56	36,47	36,40	0,33	33,00	1000,00	35,00	2000,00	29,00	(H)	30,00	(HF) Objectionable	2,35	52,33	0	0	1	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:29	00:00:01	0	44,78	47,50	47,28	47,00	44,36	37,60	37,33	37,20	3,45	47,00	8000,00	51,00	8000,00	31,00	(H)	31,00	(HF) Objectionable	4,17	60,61	0	0	1	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:30	00:00:01	0	38,98	43,40	42,40	41,40	39,00	38,61	38,52	38,42	1,19	35,00	1000,00	37,00	2000,00	30,00	(H)	32,00	(HF) Objectionable	2,68	54,22	0	0	1	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:31	00:00:01	0	39,87	40,97	40,85	40,68	39,91	39,34	39,27	39,21	0,45	36,00	1000,00	38,00	2000,00	31,00	(H)	32,00	(HF) Objectionable	2,88	55,24	0	0	1	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:32	00:00:01	0	41,21	45,00	44,40	44,00	39,95	39,02	38,66	38,45	1,95	42,00	8000,00	46,00	8000,00	30,00	(H)	31,00	(HF) Objectionable	3,38	57,56	0	0	1	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:33	00:00:01	0	38,48	39,77	39,68	39,58	38,50	37,69	37,60	37,44	0,78	35,00	1000,00	36,00	1000,00	29,00	(H)	32,00	(HF) Objectionable	2,52	53,36	0	0	1	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:34	00:00:01	0	41,31	44,60	44,40	43,95	39,80	38,25	38,12	37,90	2,35	42,00	8000,00	46,00	8000,00	30,00	(H)	31,00	(HF) Objectionable	3,41	57,71	0	0	1	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:35	00:00:01	0	41,28	44,20	43,66	43,06	39,60	38,28	38,16	38,03	1,88	42,00	8000,00	46,00	8000,00	31,00	(H)	32,00	(HF) Objectionable	3,57	58,34	0	0	1	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:36	00:00:01	0	41,76	45,30	44,60	44,32	41,70	38,36	38,10	37,70	2,22	43,00	8000,00	47,00	8000,00	30,00	(H)	31,00	(HF) Objectionable	3,40	57,64	0	0	1	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:37	00:00:01	0	40,51	43,75	43,50	43,06	39,70	38,22	37,93	37,80	1,74	41,00	8000,00	45,00	8000,00	30,00	(H)	30,00	(HF) Objectionable	3,30	57,21	0	0	1	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:38	00:00:01	0	37,66	40,30	39,80	39,00	37,85	37,38	37,29	37,21	0,69	33,00	1000,00	35,00	1000,00	29,00	(H)	31,00	(HF) Objectionable	2,57	53,60	0	0	1	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:39	00:00:01	0	39,88	43,60	43,00	42,35	38,09	37,80	37,65	37,46	1,88	40,00	8000,00	44,00	8000,00	29,00	(H)	30,00	(HF) Objectionable	3,11	56,36	0	0	1	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:40	00:00:01	0	37,31	39,20	38,66	38,06	37,53	37,23	37,16	37,03	0,41	33,00	2000,00	36,00	8000,00	28,00	(H)	30,00	(HF) Objectionable	2,54	53,47	0	0	1	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:41	00:00:01	0	37,43	38,40	38,31	38,20	37,67	36,34	36,24	36,06	0,69	33,00	1000,00	35,00	1000,00	29,00	(H)	31,00	(HF) Objectionable	2,43	52,83	0	0	1	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:42	00:00:01	0	40,89	45,10	44,60	44,00	39,10	36,80	36,60	36,30	2,94	43,00	8000,00	46,00	8000,00	29,00	(H)	30,00	(HF) Objectionable	3,20	56,79	0	0	1	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:43	00:00:01	0	36,39	38,40	38,10	37,80	36,25	35,70	35,64	35,60	0,75	32,00	1000,00	34,00	2000,00	27,00	(H)	30,00	(HF) Objectionable	2,25	51,70	0	0	1	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:44	00:00:01	0	37,88	42,73	42,20	36,20	35,87	35,60	35,51	35,42	1,51	38,00	8000,00	42,00	8000,00	28,00	(H)	30,00	(HF) Objectionable	2,63	53,96	0	0	1	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:45	00:00:01	0	39,25	44,70	44,10	43,60	38,20	34,00	33,65	33,20	3,80	41,00	8000,00	45,00	8000,00	27,00	(H)	28,00	(HF) Objectionable	2,51	53,29	0	0	1	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:46	00:00:01	0	40,17	44,15	43,80	43,32	36,48	32,85	32,66	32,46	4,02	42,00	8000,00	46,00	8000,00	28,00	(H)	29,00	(HF) Objectionable	2,90	55,37	0	0	1	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:47	00:00:01	0	35,57	43,50	42,80	42,00	34,10	31,87	31,80	31,64	3,86	36,00	8000,00	40,00	8000,00	25,00	(H)	27,00	(HF) Objectionable	2,01	50,07	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:48	00:00:01	0	36,40	40,13	39,80	39,30	35,20	33,33	33,00	31,80	2,30	39,00	8000,00	42,00	8000,00	24,00	(H)	26,00	(HF) Marginal	2,02	50,17	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:49	00:00:01	0	36,86	38,80	38,60	38,20	36,12	32,86	32,76	32,63	1,79	33,00	2000,00	35,00	2000,00	29,00	(H)	30,00	(HF) Objectionable	2,54	53,47	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:50	00:00:01	0	36,06	40,53	40,20	39,60	36,06	33,13	32,75	32,50	2,40	34,00	2000,00	36,00	2000,00	28,00	(H)	28,00	(HF) Objectionable	2,13	50,89	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:51	00:00:01	0	36,67	39,93	39,66	39,20	36,42	33,00	32,60	32,40	2,10	35,00	2000,00	37,00	2000,00	28,00	(H)	29,00	(HF) Objectionable	2,22	51,48	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:52	00:00:01	0	36,41	39,55	39,30	38,73	35,00	33,56	33,36	33,20	1,68	33,00	2000,00	35,00	2000,00	28,00	(H)	29,00	(HF) Objectionable	2,30	52,02	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:53	00:00:01	0	36,37	39,00	38,80	38,48	36,67	35,20	34,96	34,83	1,17	33,00	2000,00	35,00	2000,00	29,00	(H)	29,00	(HF) Objectionable	2,39	52,55	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:54	00:00:01	0	36,06	37,50	37,13	36,85	36,07	34,80	34,70	34,62	0,86	31,00	2000,00	35,00	4000,00	29,00	(H)	29,00	(HF) Objectionable	2,44	52,87	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:55	00:00:01	0	32,97	37,20	36,97	36,82	32,60	30,80	30,71	30,62	2,37	28,00	4000,00	31,00	4000,00	26,00	(H)	26,00	(HF) Objectionable	1,75	48,10	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:56	00:00:01	0	32,39	34,35	33,80	33,40	31,60	31,14	31,05	30,90	0,85	29,00	4000,00	33,00	8000,00	25,00	(H)		(HF) Objectionable	1,65	47,22	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:57	00:00:01	0	30,01	34,10	33,60	33,00	30,14	29,20	29,10	29,02	1,36	25,00	8000,00	29,00	8000,00	22,00	(H)		(HF) Marginal	1,17	42,25	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:58	00:00:01	0	31,70	34,17	34,07	33,80	29,97	29,25	29,21	29,06	1,76	31,00	8000,00	35,00	8000,00	23,00	(H)		(HF) Objectionable	1,45	45,34	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 8:59:59	00:00:01	0	32,45	34,10	33,60	33,20	32,42	31,60	31,45	31,26	0,68	29,00	4000,00	32,00	4000,00	25,00	(H)	25,00	(HF) Objectionable	1,66	47,32	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 9:00:00	00:00:01	0	32,08	35,00	34,70	34,00	32,68	29,55	29,32	29,10	1,60	32,00	8000,00	36,00	8000,00	23,00	(H)		(HF) Objectionable	1,51	45,97	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 9:00:01	00:00:01	0	30,66	33,10	32,76	32,60	30,06	29,08	29,03	28,90	1,28	30,00	8000,00	34,00	8000,00	22,00	(H)		(HF) Objectionable	1,30	43,83	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 9:00:02	00:00:01	0	30,92	33,75	33,50	33,00	30,56	28,81	28,64	28,45	1,52	29,00	4000,00	32,00	4000,00	23,00	(H)		(HF) Objectionable	1,34	44,25	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 9:00:03	00:00:01	0	30,19	32,35	32,17	32,02	29,89	29,13	29,06	29,00	0,97	30,00	8000,00	34,00	8000,00	21,00	(H)		(HF) Marginal	1,19	42,46	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 9:00:04	00:00:01	0	29,56	30,60	30,40	30,25	29,58	29,17	29,06	28,90	0,38	25,00	4000,00	29,00	8000,00	22,00	(H)		(HF) Objectionable	1,17	42,24	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 9:00:05	00:00:01	0	32,87	34,56	34,43	34,10	32,28	30,62	30,40	28,80	1,30	34,00	8000,00	38,00	8000,00	22,00	(H)		(HF) Objectionable	1,57	46,53	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 9:00:06	00:00:01	0	30,72	33,53	33,00	32,53	30,94	30,16	30,00	29,84	0,86	25,00	8000,00	29,00	8000,00	23,00	(H)		(HF) Objectionable	1,38	44,68	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 9:00:07	00:00:01	0	31,27	32,93	32,74	32,60	31,45	29,40	29,13	28,86	1,13	27,00	4000,00	30,00	4000,00	24,00	(H)	25,00	(HF) Objectionable	1,45	45,31	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 9:00:08	00:00:01	0	32,59	34,90	34,73	34,62	32,70	28,68	28,45	28,20	2,44	34,00	8000,00	38,00	8000,00	21,00	(H)		(HF) Objectionable	1,40	44,89	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 9:00:09	00:00:01	0	31,55	33,20	33,12	33,03	30,89	30,26	30,20	30,04	0,97	28,00	4000,00	31,00	4000,00	24,00	(H)		(HF) Objectionable	1,55	46,31	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 9:00:10	00:00:01	0	32,53	34,56	34,40	34,16	33,21	30,30	29,76	29,60	1,43	30,00	8000,00	34,00	8000,00	25,00	(H)	25,00	(HF) Objectionable	1,76	48,16	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 9:00:11	00:00:01	0	31,70	33,80	33,70	33,56	30,88	29,62	29,51	29,42	1,42	32,00	8000,00	36,00	8000,00	21,00	(H)		(HF) Objectionable	1,48	45,61	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 9:00:12	00:00:01	0	28,16	30,53	30,20	29,76	28,08	27,73	27,66	27,61	0,82	22,00	4000,00	25,00	4000,00	20,00	(H)		(HF) Marginal	0,94	39,15	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 9:00:13	00:00:01	0	29,18	30,30	29,90	29,76	29,06	27,80	27,68	27,60	0,79	26,00	4000,00	28,00	4000,00	21,00	(H)		(HF) Objectionable	1,11	41,49	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 9:00:14	00:00:01	0	31,14	33,60	32,80	32,04	30,32	28,71	28,56	28,43	1,27	30,00	8000,00	34,00	8000,00	21,00	(H)		(HF) Objectionable	1,41	44,94	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 9:00:15	00:00:01	0	30,00	33,90	33,60	33,40	29,10	28,13	27,96	27,83	1,95	28,00	8000,00	32,00	8000,00	20,00	(H)		(LF) Marginal	1,19	42,45	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 9:00:16	00:00:01	0	31,16	35,70	35,00	33,80	30,13	29,60	29,10	28,80	1,70	28,00	4000,00	31,00	8000,00	22,00	(H)		(HF) Objectionable	1,46	45,46	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 9:00:17	00:00:01	0	31,05	33,70	33,30	33,00	29,62	28,92	28,70	28,46	1,51	31,00	8000,00	35,00	8000,00	20,00	(H)		(HF) Marginal	1,34	44,19	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
GL 22  007	16/11/2021 9:00:18	00:00:01	0	30,01	33,53	33,10	32,40	30,11	29,20	28,80	28,26	1,29	27,00	8000,00	31,00	8000,00	20,00	(H)		(HF) Marginal	1,24	43,08	0	0	0	0	0	1		0		0		0		0	0	0	0	0	0	0	
